id,area
1400,Kyongnam
1401,Metropolitan
1402,Kyongnam
1403,Kyongnam
1404,Kyongnam
1405,Kyongnam
1406,Kyongnam
1407,Kyongnam
1408,Kyongnam
1409,Kyongnam
1410,Kyongnam
1411,Kyongnam
1412,Kyongnam
1413,Kyongnam
1414,Kyongnam
1415,Kyongnam
1416,Kyongnam
1417,Kyongnam
1418,Kyongnam
1419,Kyongnam
1420,Kyongnam
1421,Kyongnam
1422,Kyongnam
1423,Kyongnam
1424,Kyongnam
1425,Kyongnam
1426,Kyongnam
1427,Kyongnam
1428,Kyongnam
1429,Kyongnam
1430,Kyongnam
1431,Kyongnam
1432,Kyongnam
1433,Kyongnam
1434,Kyongnam
1435,Kyongnam
1436,Kyongnam
1437,Kyongnam
1438,Kyongnam
1439,Kyongnam
1440,Kyongnam
1441,Kyongnam
1442,Metropolitan
1443,Kyongnam
1444,Kyongnam
1445,Kyongnam
1446,Kyongnam
1447,Metropolitan
1448,Kyongnam
1449,Kyongnam
1450,Kyongnam
1451,Kyongnam
1452,Kyongnam
1453,Kyongnam
1454,Kyongnam
1455,Kyongbuk
1456,Kyongnam
1457,Kyongnam
1458,Kyongnam
1459,Kyongnam
1460,Kyongnam
1461,Kyongnam
1462,Kyongnam
1463,Kyongnam
1464,Kyongnam
1465,Kyongnam
1466,Kyongnam
1467,Kyongnam
1468,Kyongnam
1469,Kyongnam
1470,Kyongnam
1471,Kyongnam
1472,Kyongnam
1473,Kyongnam
1474,Kyongnam
1475,Kyongnam
1476,Kyongnam
1477,Kyongnam
1478,Kyongnam
1479,Kyongnam
1480,Metropolitan
1481,Kyongnam
1482,Kyongnam
1483,Kyongnam
1484,Kyongnam
1485,Kyongnam
1486,Kyongnam
1487,Kyongnam
1488,Kyongnam
1489,Kyongnam
1490,Kyongnam
1491,Kyongnam
1492,Kyongnam
1493,Metropolitan
