직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
482,2011-10-04,2011-12-18,0,2,75
483,2011-10-10,2015-01-12,3,39,1190
484,2011-10-10,2013-12-31,2,26,813
485,2011-10-10,2016-04-30,4,54,1664
486,2011-10-10,2012-05-31,0,7,234
487,2011-10-10,//,8,93,2851
488,2011-10-17,//,8,93,2844
489,2011-10-24,2015-11-30,4,49,1498
490,2011-10-24,2014-10-31,3,36,1103
491,2011-10-24,2013-03-18,1,16,511
492,2011-10-27,2012-10-26,0,11,365
493,2011-10-31,//,8,93,2830
494,2011-11-01,2012-03-31,0,4,151
495,2011-11-01,2014-03-25,2,28,875
496,2011-11-07,//,8,92,2823
497,2011-11-07,2015-03-31,3,40,1240
498,2011-11-14,2015-10-31,3,47,1447
499,2011-11-14,2013-01-25,1,14,438
500,2011-11-28,2015-11-25,3,47,1458
501,2011-11-28,//,8,92,2802
502,2011-11-28,//,8,92,2802
503,2011-11-28,2016-04-30,4,53,1615
504,2011-11-28,2015-03-27,3,39,1215
505,2011-11-28,//,8,92,2802
506,2011-11-29,2012-04-07,0,4,130
507,2011-12-01,//,8,91,2799
508,2011-12-01,2014-09-26,2,33,1030
509,2011-12-01,2012-10-05,0,10,309
510,2011-12-01,//,8,91,2799
511,2011-12-01,2012-12-09,1,12,374
512,2011-12-01,2013-10-31,1,22,700
513,2011-12-01,2015-05-31,3,41,1277
514,2011-12-01,//,8,91,2799
515,2011-12-01,//,8,91,2799
516,2011-12-01,//,8,91,2799
517,2011-12-01,2012-05-14,0,5,165
518,2011-12-01,2016-04-30,4,52,1612
519,2011-12-01,2016-04-30,4,52,1612
520,2011-12-05,2016-05-09,4,53,1617
521,2011-12-05,//,8,91,2795
522,2011-12-05,2012-03-09,0,3,95
523,2011-12-05,2013-01-31,1,13,423
524,2011-12-05,2014-04-11,2,28,858
525,2011-12-05,2016-06-22,4,54,1661
526,2011-12-05,2016-12-09,5,60,1831
527,2011-12-05,//,8,91,2795
528,2011-12-01,2016-09-30,4,57,1765
529,2011-12-12,2014-06-10,2,29,911
530,2011-12-19,2016-11-25,4,59,1803
531,2011-12-19,2016-01-20,4,49,1493
532,2011-12-21,2013-03-31,1,15,466
533,2011-12-21,2013-04-24,1,16,490
534,2011-12-26,2013-09-06,1,20,620
535,2011-12-27,2013-02-20,1,13,421
536,2012-01-02,2016-07-31,4,54,1672
