id,position,position_number
892,대리,4
893,수습사원,
894,사원,6
895,사원(시급),6
896,사원(시급),6
897,사원(시급),6
898,사원(시급),6
899,사원(시급),6
900,조장,4
901,사원(시급),6
902,사원(시급),6
903,사원(시급),6
904,과장,3
905,사원(시급),6
906,직장,2
907,사원(시급),6
908,사원(시급),6
909,사원,6
910,사원,6
911,사원,6
912,사원(시급),6
913,사원(시급),6
914,반장,3
915,조장,4
916,사원,6
917,사원(계약직),
918,수습사원,
919,사원(계약직),
920,사원,6
921,이사,
922,대리,4
923,대리,4
924,이사,
925,사원,6
926,수습사원,
927,사원(계약직),
928,사원(계약직),
929,사원(계약직),
930,사원(계약직),
931,사원(계약직),
932,사원(계약직),
933,사원(시급),6
934,사원(계약직),
935,사원(계약직),
936,대리,4
937,대리,4
938,사원(계약직),
939,사원(계약직),
940,차장,2
941,대리,4
942,수습사원,
943,상무,
944,사원,6
945,사원,6
946,사원(계약직),
947,사원(계약직),
948,사원,6
949,과장,3
950,사원,6
951,사원(시급),6
952,사원(계약직),
953,수습사원,
954,대리,4
955,사원(시급),6
956,사원,6
957,사원,6
958,대리,4
959,대리,4
960,과장,3
961,사원(시급),6
962,사원(시급),6
963,사원,6
964,사원,6
965,사원,6
966,사원,6
967,사원,6
968,사원,6
969,사원(시급),6
970,사원,6
971,대리,4
972,사원,6
973,사원(계약직),
974,대리,4
975,사원,6
976,사원,6
977,사원,6
978,사원,6
979,사원,6
980,사원,6
981,차장,2
982,사원(계약직),
983,사원(계약직),
984,사원(계약직),
985,대리,4
986,사원(시급),6
987,대리,4
988,부사장,
989,사원,6
990,사원,6
991,부장,1
992,사원,6
993,사원,6
994,사원,6
995,사원,6
996,사원,6
997,대리,4
998,사원,6
999,대리,4
1000,대리,4
1001,사원(계약직),
1002,사원(계약직),
1003,사원(계약직),
1004,과장,3
1005,사원,6
1006,대리,4
1007,사원,6
1008,사원,6
1009,과장,3
1010,대리,4
1011,대리,4
1012,사원,6
1013,대리,4
1014,과장,3
1015,사원(시급),6
1016,사원(시급),6
1017,대리,4
1018,사원,6
1019,사원(계약직),
1020,사원(계약직),
1021,사원(계약직),
1022,대리,4
1023,대리,4
1024,대리,4
1025,차장,2
1026,대리,4
1027,대리,4
1028,대리,4
1029,사원,6
1030,사원,6
1031,사원,6
1032,과장,3
1033,부장,1
1034,사원,6
1035,대리,4
1036,대리,4
1037,수습사원,
1038,사원,6
1039,상무,
1040,부장,1
1041,상무,
1042,차장,2
1043,대리,4
1044,사원,6
1045,사원(계약직),
1046,사원(계약직),
1047,사원(계약직),
1048,사원(시급),6
1049,전문위원,
1050,사원(계약직),
1051,사원(계약직),
1052,대리,4
1053,사원(계약직),
1054,사원(계약직),
1055,사원(계약직),
1056,이사,
1057,사원(계약직),
1058,사원(계약직),
1059,부장,1
1060,사원,6
1061,부장,1
1062,사원,6
1063,과장,3
1064,차장,2
1065,과장,3
1066,대리,4
1067,사원,6
1068,대리,4
1069,사원,6
1070,이사,
1071,차장,2
1072,사원(계약직),
