,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
152,153,1,0.0,2.0,37,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-28,2017-05-31,9,112,3411,3.0,Quality_Management,1.0,0,3.0,0.3045336111111111,2918855.0,1,3,2
153,154,1,0.0,0.0,35,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2008-01-28,2011-06-29,3,41,1248,4.0,Financial_management,0.0,0,0.0,0.7147291666666666,2543426.0,0,1,1
154,155,1,0.0,1.0,35,Kyongnam,0.0,0.0,0.0,1,1.0,Yes,Buddism,2008-01-28,2015-10-31,7,93,2833,3.0,Business_management,1.0,1,0.0,0.23503194444444445,15672437.0,0,3,2
155,156,0,0.0,1.0,38,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-28,//,11,138,4202,3.0,Business_management,1.0,0,2.0,0.7682836111111111,3668042.0,1,3,2
157,158,1,0.0,0.0,31,Kyongnam,0.0,2.0,1.0,1,0.0,No,No,2008-01-28,2012-09-08,4,55,1685,4.0,Production_Management,1.0,0,0.0,0.27354527777777776,904537.0,0,2,2
158,159,1,0.0,0.0,28,Chungnam,0.0,0.0,0.0,0,0.0,No,No,2008-01-28,2011-08-31,3,43,1311,6.0,Sales,1.0,0,0.0,3.074531388888889,11291020.0,0,1,1
159,160,1,0.0,0.0,33,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-28,2011-10-01,3,44,1342,6.0,Business_management,1.0,0,0.0,0.28936,1055901.0,0,1,1
160,161,0,0.0,1.0,38,Kyongnam,2.0,1.0,1.0,1,1.0,Yes,Buddism,2008-01-28,//,11,138,4202,3.0,Quality_Management,1.0,0,1.0,0.24235305555555556,1267979.0,1,3,2
161,162,1,0.0,1.0,35,Kyongnam,0.0,1.0,1.0,1,0.0,No,No,2008-01-28,2015-07-08,7,89,2718,4.0,Quality_Management,1.0,0,1.0,1.6028791666666666,6483920.0,0,3,2
162,163,0,0.0,1.0,39,Kyongnam,1.0,0.0,0.0,1,1.0,Yes,Buddism,2008-01-28,//,11,138,4202,3.0,Quality_Management,1.0,0,1.0,0.9263375,2862745.0,1,3,2
163,164,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2008-01-28,2011-05-20,3,39,1208,6.0,Warranty,0.0,0,0.0,0.36532555555555557,1192847.0,0,1,1
